title;description;type;year;duration;thumbnail_url;backdrop_url;video_url;genre;rating;imdb_rating;cast_members;director;is_featured;is_masterpiece;is_cult
Dracula;The classic tale of Count Dracula, a vampire from Transylvania who travels to England to spread the undead curse and pursue his prey.;movie;1931;75 min;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_images/dracula_poster_01.jpg;;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_video/Dracula.mp4;Horror;Classic;NR;7.4;Bela Lugosi;Helen Chandler;David Manners;Tod Browning;false;true;true
Frankenstein;A brilliant but obsessed scientist creates life from the dead, but his creation becomes a monster that terrorizes the countryside.;movie;1931;70 min;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_images/frankenstein_poster_01.jpg;;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_video/Frankenstein.mp4;Horror;Sci-Fi;NR;7.8;Boris Karloff;Colin Clive;Mae Clarke;James Whale;false;true;true
The House of Fear;Sherlock Holmes and Dr. Watson investigate a series of mysterious deaths among members of a group called The Good Comrades.;movie;1945;69 min;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_images/house_of_fear_poster_01.jpg;;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_video/HouseOfFear.mp4;Mystery;Thriller;NR;7.0;Basil Rathbone;Nigel Bruce;Aubrey Mather;Roy William Neill;false;false;true
The Woman in Green;Sherlock Holmes investigates a series of murders where the victims are found with their fingers severed, leading to a hypnotic conspiracy.;movie;1945;68 min;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_images/woman_in_green_poster_01.jpg;;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_video/WomanInGreen.mp4;Mystery;Thriller;NR;7.1;Basil Rathbone;Nigel Bruce;Hillary Brooke;Roy William Neill;false;false;true
The Cabinet of Dr. Caligari;A mysterious hypnotist uses a somnambulist to commit murders, in this groundbreaking German Expressionist horror film.;movie;1920;76 min;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_images/caligari_poster_01.jpg;;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_video/CabinetOfDrCaligari.mp4;Horror;Mystery;Silent;NR;8.0;Werner Krauss;Conrad Veidt;Friedrich Feher;Robert Wiene;false;true;false
The Phantom of the Opera;A disfigured musical genius lurks beneath the Paris Opera House, terrorizing the opera company and falling in love with a young soprano.;movie;1925;93 min;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_images/phantom_opera_poster_01.jpg;;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_video/PhantomOfTheOpera.mp4;Horror;Drama;Silent;NR;7.6;Lon Chaney;Mary Philbin;Norman Kerry;Rupert Julian;false;true;true
Night of the Living Dead;A group of people hide from bloodthirsty zombies in a farmhouse, in this groundbreaking horror classic that launched the modern zombie genre.;movie;1968;96 min;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_images/night_living_dead_poster_01.jpg;;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_video/NightOfTheLivingDead.mp4;Horror;NR;7.8;Duane Jones;Judith O'Dea;Karl Hardman;George A. Romero;false;true;true
The Last Man on Earth;The sole survivor of a plague that turned humanity into vampires struggles to find a cure while defending himself against the undead.;movie;1964;86 min;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_images/last_man_earth_poster_01.jpg;;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_video/LastManOnEarth.mp4;Horror;Sci-Fi;NR;6.9;Vincent Price;Franca Bettoia;Emma Danieli;Ubaldo Ragona;false;false;true
White Zombie;A young woman's fiance seeks help from a voodoo master to win her back, but the master has his own sinister plans for the bride.;movie;1932;67 min;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_images/white_zombie_poster_01.jpg;;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_video/WhiteZombie.mp4;Horror;NR;6.3;Bela Lugosi;Madge Bellamy;Joseph Cawthorn;Victor Halperin;false;false;true
The Little Shop of Horrors;A nerdy florist discovers a carnivorous plant that brings him success, but demands human blood to survive.;movie;1960;72 min;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_images/little_shop_horrors_poster_01.jpg;;https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-videos/film_masterpieces_video/LittleShopOfHorrors.mp4;Comedy;Horror;NR;6.5;Jonathan Haze;Jackie Joseph;Mel Welles;Roger Corman;false;false;true
