"ID",TITLE,SEASON,EPISODE,EPISODE TITLE,DESCRIPTION,VIDEO URL,IMAGE URL
2,Adventures of Robin Hood,1,1,The Coming of Robin Hood,"The classic tale of Robin Hood begins as Robin of Loxley returns from the Crusades to find his lands seized and the people oppressed by the Sheriff of Nottingham.",https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-television/Adventures%20of%20Robin%20Hood_S1E1_video.mp4,https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-tv-images/Adventures%20of%20Robin%20Hood_poster.png
3,The Andy Griffith Show,3,23,The Big House,"Sheriff Andy Taylor faces a crisis when the town's small jail becomes overcrowded. Classic small-town comedy from Mayberry.",https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-television/Andy%20Griffith%20Show%20S3%20E23_video.mp4,https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-tv-images/Andy%20Griffith%20Show_poster.webp
4,Bonanza,2,13,The Mission,"The Cartwright family drama unfolds on the Ponderosa ranch in this classic Western series episode.",https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-television/Bonanza%20S2E13_video.mp4,https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-tv-images/Bonanza_poster.jpg
5,Dragnet,1,1,The Human Bomb,"Sgt. Joe Friday investigates in this pioneering police procedural. 'Just the facts, ma'am.' The series that defined TV crime drama.",https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-television/Dragnet%20%281951%29%20S1E1_video.mp4,https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-tv-images/Dragnet_poster.webp
6,Flash Gordon,1,6,Deadline at Noon,"Flash Gordon battles evil in this classic 1950s science fiction series featuring thrilling space adventures and cliff-hangers.",https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-television/Flash%20Gordon%20TV%201954%20S1E6_video.mp4,https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-tv-images/Flash%20Gordon%201954_poster.png
7,The Gumby Show,1,1,The Moon Trip,"America's favorite clay animation character Gumby embarks on fantastic adventures in this beloved children's series created by Art Clokey.",https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-television/Gumby%20Show%20S1E1_video.mp4,https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-tv-images/Gumby%20Show_poster.webp
8,Roy Rogers Show,1,1,Smuggler's Trial,"The King of the Cowboys and his horse Trigger fight for justice in the Old West in this classic Western series.",https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-television/Roy%20Rogers%20Show%20TV%201951%20S1E1_video.mp4,https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-television/Roy%20Rogers%20Show_poster.webp
9,The Beverly Hillbillies,1,1,The Clampett's Strike Oil,"Jed Clampett strikes oil and moves his family to Beverly Hills in the pilot episode of this iconic sitcom. Hilarity ensues as country folk meet high society.",https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-television/The%20Beverly%20Hillbillies%20%281962%29%20-%20Season%201_Pilot_Video.mp4,https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-tv-images/The%20Beverly%20Hillbillies%20%281962%29%20-%20Season%201_Poster.png
10,The Lone Ranger,1,1,Enter the Lone Ranger,"The origin story of the masked hero who fights for law and order in the Old West alongside his faithful companion Tonto. 'Hi-Yo, Silver! Away!'",https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-television/The%20Lone%20Ranger%201949_S1E1_video%20%281%29.mp4,https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-tv-images/The%20Lone%20Ranger_poster.webp
11,The Lucy Show,1,1,Lucy Waits Up for Chris,"Lucille Ball returns to television in this sitcom about a widow raising two children. Classic Lucy comedy and physical humor.",https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-television/The%20Lucy%20Show%20S1E1_video.mp4,https://oodvbtxbeoxpilrzbxmg.supabase.co/storage/v1/object/public/oldflick-tv-images/The%20Lucy%20Show_poster.webp
